"","dhps_431","dhps_437","dhps_540","dhps_581","dhfr_51","dhfr_59","dhfr_108"
"3D7_100Kb_S103",1,1,1,1,1,1,1
"3D7_10ka_S56",1,1,1,1,1,1,1
"3D7_10kb_S152",1,1,1,1,1,1,1
"3D7-100K_S7_L001",1,1,1,1,1,1,1
"3D7-100K_S8_L001",1,1,1,1,1,1,1
"3D7-100Ka_S7_L001",1,1,1,1,1,1,1
"3D7-100kf_S79_L001",1,1,1,1,1,1,1
"3D7-10k_S56_L001",1,1,1,1,1,1,1
"3D7-10ka_S56_L001",NA,NA,NA,1,NA,NA,NA
"3D7-10kf_S72_L001",1,1,1,1,1,1,1
"3D7-Dd2-k13-60-40-100K_S68_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-60-40-100K_S88_L001",1,1,0.5,1,0.5,0.5,0.5
"3D7-Dd2-k13-60-40-100Ka_S52_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-75-25-100K_S67_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-75-25-100K_S87_L001",1,1,0.5,1,0.5,0.5,0.5
"3D7-Dd2-k13-75-25-100Ka_S51_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-90-10-100K_S66_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-90-10-100K_S86_L001",1,0.5,0.5,1,0.5,0.5,0.5
"3D7-Dd2-k13-90-10-100Ka_S50_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-95-5-100K_S65_L001",1,1,1,1,1,1,1
"3D7-Dd2-k13-95-5-100K_S85_L001",1,1,1,1,0.5,0.5,0.5
"3D7-Dd2-k13-95-5-100Ka_S49_L001",1,1,1,1,1,1,1
"3D7-Dd2-k13-98-2-100K_S48_L001",1,1,1,1,1,1,1
"3D7-Dd2-k13-98-2-100K_S84_L001",1,1,0.5,1,1,0.5,0.5
"3D7-HB3-10-90-10K_S76_L001",1,1,1,1,0.5,0.5,0
"3D7-HB3-10-90-10K_S94_L001",1,1,0,1,0,0,0
"3D7-HB3-10-90-10Ka_S60_L001",1,1,0,1,1,1,0
"3D7-HB3-2-98-10K_S78_L001",1,1,1,1,0,0,0
"3D7-HB3-2-98-10K_S96_L001",1,1,0,1,0,0,0
"3D7-HB3-2-98-10Ka_S62_L001",1,1,0,1,0,0,0
"3D7-HB3-25-75-10K_S75_L001",1,1,0,1,0,1,0
"3D7-HB3-25-75-10K_S93_L001",1,1,0,1,0,0,0
"3D7-HB3-25-75-10Ka_S59_L001",1,1,1,1,0,0,0
"3D7-HB3-5-95-10K_S77_L001",1,1,1,1,0.5,0.5,0
"3D7-HB3-5-95-10K_S95_L001",1,1,0,1,0,0,0
"3D7-HB3-5-95-10Ka_S61_L001",1,1,1,1,0,0.5,0
"3D7-HB3-50-50-10K_S74_L001",1,0.5,1,1,1,1,0.5
"3D7-HB3-50-50-10K_S92_L001",1,1,0,1,0,0,0
"3D7-HB3-50-50-10Ka_S58_L001",1,0.5,1,1,1,1,0.5
"3D7-HB3-75-25-10K_S73_L001",1,0.5,1,1,1,0.5,0.5
"3D7-HB3-75-25-10K_S91_L001",1,1,0.5,1,0.5,0.5,0.5
"3D7-HB3-75-25-10Ka_S57_L001",1,0.5,1,1,1,1,0.5
"3D7-HB3-90-10-10K_S70_L001",1,0.5,1,1,1,1,0.5
"3D7-HB3-90-10-10K_S90_L001",1,1,0,1,0.5,0.5,0
"3D7-HB3-90-10-10Ka_S54_L001",1,0.5,1,1,1,1,1
"3D7-HB3-95-5-10K_S69_L001",1,1,1,1,1,1,1
"3D7-HB3-95-5-10K_S89_L001",1,1,0,1,0,0,0.5
"3D7-HB3-95-5-10Ka_S53_L001",1,1,1,1,1,1,1
"3D7100_S56_L001",1,0.5,1,1,0.5,0.5,0.5
"3D71K_S7_L001",NA,NA,NA,1,NA,NA,NA
"D10-Density-10",1,0,0.5,1,1,1,0.5
"D10-Density-100",1,0,0.5,1,1,1,1
"D10-Density-10K",1,0,1,1,1,1,1
"D10-Density-1K",1,0,0.5,1,1,1,0.5
"DD2_K539T_100ka_S7",1,1,1,1,0,0,0
"Dd2-10",1,1,1,1,0,0,0
"Dd2-10-1",1,1,1,1,0,0,0
"Dd2-10-2",1,1,1,1,0,0,0
"Dd2-100",1,1,1,1,0,0,0
"Dd2-100-1",1,1,1,1,0,0,0
"Dd2-100-2",1,1,1,1,0,0,0
"Dd2-10K",1,1,1,1,0,0,0
"Dd2-10K_S56_L001",1,1,1,1,0,0,0
"Dd2-10K-1",1,1,1,1,0,0,0
"Dd2-10K-2",1,1,1,1,0,0,0
"Dd2-1K-1",1,1,1,1,0,0,0
"Dd2-1K-2",1,1,1,1,0,0,0
"DS2-DC1-10",1,1,0,1,0,0,0
"DS2-DC1-100",1,1,0,1,0,0,0
"DS2-DC1-10K",1,1,0,1,0,0,0
"DS2-DC1-1K",1,1,0,1,0,0,0
